id,nps_score,comment
1,2,Functionality is limited and frustrating.
2,8,I haven’t used it enough to say.
3,0,Hard to find what I need in the dashboard.
4,5,"It’s slowed down our process, not improved it."
5,5,The new interface is confusing.
6,1,The new interface is confusing.
7,6,"It's okay, not much different from before."
8,10,The app has improved a lot in recent updates.
9,3,I don’t feel like it’s worth the cost.
10,2,Customer support takes too long to respond.
11,8,Some updates feel unnecessary.
12,1,Too many popups and alerts — very distracting.
13,9,Love the integration with our workflow.
14,7,Some updates feel unnecessary.
15,8,Mixed results depending on the feature.
16,10,The new design is clean and easy to use.
17,6,Mixed results depending on the feature.
18,1,Customer support takes too long to respond.
19,8,Mixed results depending on the feature.
20,7,I haven’t used it enough to say.
21,4,I don’t feel like it’s worth the cost.
22,4,Functionality is limited and frustrating.
23,9,The app has improved a lot in recent updates.
24,4,"It’s slowed down our process, not improved it."
25,1,This tool creates more problems than it solves.
26,2,Too complex for everyday use.
27,7,Still getting used to the platform.
28,9,The app has improved a lot in recent updates.
29,5,I experience frequent bugs and crashes.
30,10,Everything works smoothly — great experience!
31,10,Customer service is incredibly responsive.
32,1,Functionality is limited and frustrating.
33,4,Hard to find what I need in the dashboard.
34,4,Customer support takes too long to respond.
35,6,Mixed results depending on the feature.
36,5,I experience frequent bugs and crashes.
37,3,I don’t feel like it’s worth the cost.
38,4,Functionality is limited and frustrating.
39,7,I haven’t used it enough to say.
40,3,Too many popups and alerts — very distracting.
41,4,Functionality is limited and frustrating.
42,5,"It’s slowed down our process, not improved it."
43,0,Too many popups and alerts — very distracting.
44,5,I don’t feel like it’s worth the cost.
45,9,The app has improved a lot in recent updates.
46,1,I experience frequent bugs and crashes.
47,4,Functionality is limited and frustrating.
48,3,I experience frequent bugs and crashes.
49,1,This tool creates more problems than it solves.
50,8,The help docs were average — could be clearer.
51,7,"Setup was fine, but took longer than expected."
52,7,I haven’t used it enough to say.
53,0,I don’t feel like it’s worth the cost.
54,3,"It’s slowed down our process, not improved it."
55,8,Mixed results depending on the feature.
56,4,Functionality is limited and frustrating.
57,4,Too many popups and alerts — very distracting.
58,2,Too many popups and alerts — very distracting.
59,7,Mixed results depending on the feature.
60,7,Service is consistent but not outstanding.
61,7,Some updates feel unnecessary.
62,3,Too complex for everyday use.
63,10,The new design is clean and easy to use.
64,7,Some updates feel unnecessary.
65,3,Hard to find what I need in the dashboard.
66,2,Hard to find what I need in the dashboard.
67,3,I don’t feel like it’s worth the cost.
68,3,The new interface is confusing.
